RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22
3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,37,216775,216885,217874,219668,221900,223937,226032,228402,230552,232294,233967,235650,236843,237946,239383,241630,243869,246181,248576,251234,253535,255991,258134,260516,262277,264344,266944,270362,274118,277778,282542,287627,293082,297942,302781,307383,310990,314163,317969,321969,327143,331166,337163,343378,350362,355547,360574,366006,372452,378955,385669,394192,404944,415467,424904,433548,443944,453863,460576,466235,470579,478031,484914,492625,498903,506615,515229,524692,533971,544479,551832,558300,563899,568859,574325,578078,583974,588482,591415,593277,591559,591195,591013,592967,593553,593300,591743,591238,588593,585923,580896,575916,570342,563611,557715,551437,547369,541346,531615,517894,502683,489068,475385,463254,454179,446601,438906,428187,420707,415896,413385,409980,406786,402396,399298,397629,397189,397057,398654,403277,405383,404947,405841,408247,412553,411204,409195,404157,399978,395924,392427,391569,390935,391622,390012,388889,384338,383649,382202,379901,375314,370863,370251,369940,369685,369411,369102,369701,370602,372405,374416,375670,376960,380137,383924,390351,395440,403662,411498,420958,428443,436466,444153,453009,459952,465022,469741,473401,478810,480869,483134,482645,483952,484616,485924,484662,483949,484712,487691,491276,495918,500732,504681,505268,507528,509704,509917,510173,511099,515665,519440,524968,528596,532490,534232,538659,541885,545688,545031,546279,548904,554785,558207,560612,564382,567716,570578,572099,575443,579085,580775,582988,585531,590493,596689,601794,607070,612831,618617,623156,625140,627566,628080,629113,630276,633729,636040,635765,635191,633017,631183,630729,631599,633394,631321,631279,632550,637259,639992,643197,646324,652904,659734,665278,663097,660358,662938,672028,683187,693188,700929,706371,710177,717192,724202,734634,748570,766377,786335,798357,807005,809539,814096,819459,824634,833061
139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,17,31,177178,177471,178155,179361,180754,181956,183320,184849,186477,188174,189978,191718,193209,194316,195769,197131,198770,200090,201394,202921,204573,206461,207993,209229,210440,211671,213362,214500,215857,216737,218316,220079,222199,224040,225351,226860,228393,230180,231646,233281,234377,235483,236407,237865,239477,241290,242870,244460,246276,247865,249384,251048,253206,255495,257562,259662,261512,263609,265775,268240,270315,272290,274097,276300,278809,281290,283614,285747,288433,290875,293410,295783,298141,300278,302317,304002,305477,306121,306744,306950,306967,306631,306548,306926,307967,308992,309556,309331,308715,307919,306921,305986,304408,303128,301692,299994,298904,294713,295234,290752,291077,285896,285621,281165,278848,273512,269898,264523,259027,255056,250583,249281,246310,245529,243739,242499,238839,235835,232432,232139,230456,230542,227933,229252,227956,229277,225292,223433,219732,217547,214248,211191,208827,206341,205161,203155,202783,201096,200982,199406,198109,194645,192880,189438,187955,184390,184780,184719,185668,185161,183579,182673,181506,182426,183007,183658,184826,186193,187251,188696,190246,193184,195604,198195,199720,202820,204017,206033,206410,208513,209559,210078,210945,212290,213065,212855,213282,213765,214216,214822,215127,215933,216733,218638,220071,220382,220571,220669,220797,220471,220473,221528,222928,225692,227385,228462,228274,228206,228803,229243,229716,230386,231903,233453,235440,237283,239690,241126,241879,241567,241331,241374,242324,242968,243724,245128,247667,250087,250936,251079,251152,251407,251524,251450,252039,252432,253355,254121,254556,255176,255479,255876,255547,255086,254860,254493,254277,253759,253529,253416,253849,254416,254689,254457,254141,254169,255615,257492,261264,264631,267456,269130,269769,272062,273820,276853,278651,281701,285275,289056,291669,294182,297109,299865,302464,304239
1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,201,114933,114928,114700,114674,114622,114863,115048,115358,115759,116028,116636,117211,117464,117419,116879,116668,116620,116813,116991,116844,116970,117204,117515,117699,117848,118090,118649,119287,119855,120287,120767,121380,121907,122251,122520,122700,123028,123233,123602,123817,124060,124217,124396,124645,124764,124948,125073,125343,125784,126948,128916,130326,131715,131846,132806,133164,133984,134515,135102,135855,136561,137295,137793,138175,138232,138362,138321,138183,137953,137687,137845,137840,137982,137788,137922,138101,138785,139271,139861,140286,140935,141709,142280,142870,142997,142819,142436,142647,143210,143971,144297,144736,145054,145379,145572,145755,145138,144419,143741,143688,143413,143036,142761,142230,141462,140698,139715,138693,137670,137591,137650,137945,138242,138790,139405,139512,139314,138735,138689,138822,138689,138591,138802,139401,139789,139542,138594,137006,135807,134964,134619,134188,133617,133002,132085,131430,130959,130722,130729,130762,130613,130334,129283,128607,128343,128687,129215,129374,129709,129921,130519,131039,131360,131329,131595,131953,132811,133829,135609,137491,139225,140402,141613,142950,144337,145734,146990,148138,149420,150769,151810,152698,153512,154866,156161,157777,159221,160532,161709,163003,164521,165842,167473,168764,170003,170850,171291,171643,171964,172774,173378,173972,175121,176219,176904,176856,177247,177953,178827,179165,179427,179645,180724,181936,182570,182988,183432,184262,184760,185213,185259,185378,185584,186182,186833,187398,188078,188663,189296,190331,191366,192352,192999,193919,194858,195850,196769,197625,198665,199496,199885,199870,199960,200461,200944,201458,201651,202488,203172,203811,203506,203676,204619,206027,206902,207261,207718,208680,210869,213199,215742,217870,219947,222494,223728,225544,227793,232679,238034,243803,248213,251998,254585,257648,260840,264465
2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,13,144005,144384,144844,145749,146654,147335,148067,148764,149604,150323,151042,151755,152464,153161,153856,154528,155192,155836,156428,157028,157637,158322,159049,159675,160191,160646,161215,161816,162351,163019,163749,164699,165366,166059,166620,167350,168025,168776,169382,170094,170770,171558,172323,173199,174271,175312,176183,176878,177510,178414,179559,180926,182613,184377,187051,190096,192849,195705,198521,202455,206649,212234,217543,223865,230755,240300,250757,260703,271276,279951,288547,292682,294129,298258,303193,308793,310431,311044,309748,306945,303152,301510,298928,296708,294062,292646,291945,291903,291765,290506,288286,285402,282324,279356,274887,270272,265481,259498,253562,246022,241309,236342,231047,223777,216982,211978,204779,197378,190585,187522,184444,181095,176863,173684,171205,169192,167384,164522,164250,164322,165003,163735,162326,162017,161373,160782,157794,155523,152294,150770,148900,147190,144826,142988,142104,140565,139076,137229,136805,136708,136871,137121,137181,138463,139313,140740,141297,143967,147773,151989,155432,158780,162718,166366,169915,172045,174904,176772,179477,181055,183048,185925,189848,193059,195598,197369,197805,199437,201574,204855,205628,205123,204766,204948,204850,204955,204584,204928,205982,207420,208245,208952,210979,213085,215040,215818,217405,218774,220782,221876,222702,223299,225356,227117,228508,229450,230501,231443,231558,232162,233271,235092,236743,237596,238457,239918,241745,243011,244015,245107,246849,247823,249366,250718,252100,252863,254353,256696,259018,260899,262464,263772,265271,266792,268745,269947,270848,271691,272848,274108,275550,276400,277149,277876,279055,280994,282695,284388,286052,288161,290282,292389,295473,299782,302627,304351,306254,310713,316074,321466,326834,333134,340600,347039,355823,362476,374747,386230,399576,409614,417871,425408,431538,437309,443086,451812
2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,6,73,229369,230618,231970,234985,237876,241626,245514,249697,253371,256589,259977,262883,265432,268653,272912,278100,282324,285362,287564,289827,292517,295406,298292,300429,302660,304847,307856,311329,315655,320252,325806,331609,337574,343627,349066,355189,360149,365037,370141,375597,381697,386511,392646,397855,404663,410425,416316,417855,422871,430340,440960,449560,458455,473741,487714,500832,510111,519942,527473,534054,537888,541681,548408,556820,565147,567881,568907,570086,571150,571856,571929,571990,573810,573288,573709,572872,574660,573825,570869,566281,562508,559813,558639,556759,555433,553049,547048,541178,534776,530782,525292,521859,516822,512268,505978,501787,495293,487350,478308,471559,463185,454704,444379,434884,423346,413996,405375,399926,394846,392155,390758,385760,382884,376532,375809,372573,374026,374513,378776,382365,385952,387637,389875,393924,394509,394229,391253,389113,385646,381078,377563,376473,375777,374958,372181,370811,369136,368548,366708,362867,359084,356297,355606,354517,355481,356484,357596,357038,357773,360417,363042,365497,367558,370860,374767,382231,388808,395341,401376,408295,415165,423568,432291,440713,444863,447574,450548,454052,460459,468120,469072,467396,463506,463388,463744,461090,461471,462331,466943,468922,469389,470053,475003,478681,482480,482606,481741,482492,484952,489598,493233,498206,506124,509428,508693,508133,509565,512958,511448,513861,516873,523179,526450,529212,529312,532451,536482,541865,547060,550914,552429,553414,555857,561239,564714,568644,574762,581352,585581,585375,584790,585876,587962,591078,592271,594561,595499,595148,591370,589006,588643,591699,593340,595228,597516,599518,600093,600656,602693,605229,608202,611465,617153,621118,624059,624302,627906,634635,644814,655932,668101,678817,688322,696776,707104,721266,742452,766854,790916,805688,815494,820274,827876,839310,859927,880414
1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,59,275341,278027,279785,283448,286514,289775,293073,296257,299458,303058,306110,309640,312330,315864,318821,322665,326230,329097,331983,334720,338505,341850,344616,347328,349807,352871,356064,360129,365017,370655,377323,384042,389952,395363,400566,406219,411310,416489,421420,427738,435087,441236,447498,454369,463252,472270,480946,485776,494366,505296,522215,536354,552844,569584,584230,594271,599022,604526,607329,614370,622086,629116,638567,646749,657443,662709,670393,678366,687849,694899,698940,706494,712228,719336,722950,728291,731642,734191,731343,731940,730112,731600,727974,723784,723662,723938,724194,718536,712530,707815,699170,688981,674900,665497,660354,650900,638559,620024,608601,594243,582774,571055,564313,558529,555773,549157,540116,529763,521594,519572,514977,513093,510395,508458,506882,504581,505787,508579,515166,520319,521537,520813,519319,524222,526222,527353,522703,519018,514876,510786,506146,503175,501863,501437,499231,495527,489410,486640,485926,484489,480103,476990,477100,478961,477127,474907,473340,473461,474927,476000,480151,484586,490082,495357,501397,507688,517844,530119,543100,554193,564291,574258,579527,582840,586782,592331,600958,609931,616203,619807,616847,615442,611683,610504,609974,608299,608842,609056,612854,616756,620071,624109,626937,630282,631273,632595,635494,638078,641094,643790,646208,652365,656798,661551,663468,663255,665641,665773,669215,670363,670102,670280,674598,678446,684749,686934,691574,692973,695550,699068,700446,701270,703165,707418,712676,717955,722234,726113,729564,733901,737601,741162,741654,742575,741911,744783,745516,744406,741959,739756,739313,738774,739770,738861,739691,741529,746932,750312,750333,748708,751021,755993,763185,767285,765877,762505,762685,772572,782708,793156,800158,808193,815817,824213,833837,846047,865295,889158,912526,929705,940720,950605,963517,981428,1005230,1027003
581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,36,47,227908,229413,230897,234021,237000,240123,243070,245037,246861,248550,251092,253416,256068,259098,262466,265522,268329,270705,272712,274728,276845,279183,281774,284328,288050,292481,286757,279596,271123,272634,274225,280691,287015,293234,294501,295881,297104,304304,313926,324485,331943,346068,358035,365157,364055,364337,367864,370728,375184,378783,382258,382751,386244,388803,396646,401212,411774,420093,429686,436411,438444,440746,445768,454523,462381,468348,476823,486530,495860,505661,510599,516344,519798,524043,520634,521374,523481,534532,540764,548819,545486,544942,540081,539775,540338,539004,543985,542907,544794,541823,541459,544027,540847,538842,537121,537580,540620,542073,546057,544461,541064,537546,533043,529976,527547,524944,522709,520089,517395,512395,507310,501862,497516,492019,486770,482133,479345,476643,476210,476109,478780,483409,482476,480870,478894,481787,486664,487969,489797,488849,488529,486356,484412,481698,485890,489586,492734,489418,486095,484631,486079,488194,490029,492023,493203,493367,491775,492243,492784,493516,493471,494103,495905,497898,502376,506845,511772,515262,517132,518558,520858,524249,526152,528512,534676,541222,546322,550264,554555,561110,566616,574141,580318,585446,589390,593317,597298,600595,602402,604606,606347,608677,611144,618483,626379,633576,638123,641695,647693,653167,659606,664380,666837,668274,670102,673569,676184,678498,681058,684437,686015,686642,688768,693200,698799,703023,706726,710762,714595,716984,719667,722861,728329,734831,740473,745646,749090,753824,756809,758981,760894,764238,768019,771116,771670,773922,778194,783436,786871,789316,791422,793120,793947,794153,794957,792579,790248,786819,784657,783065,782438,782701,785080,787323,788935,789338,791902,795860,799709,802198,806241,808473,809390,809659,810437,812652,812629,814788,818288,826280,833872,838784,840171,841155,844770,849693
2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,132135,132780,133232,134151,134832,135539,136284,136935,137648,138238,138996,139853,140804,141753,142568,143519,144608,145897,147364,149014,150744,152323,153841,155373,156970,158616,160237,162015,163745,165680,167805,170141,172130,173915,175456,177958,180792,183872,186579,189385,191937,194226,196051,198161,200617,203123,205538,207313,209585,211804,214831,217473,220834,224236,228214,232382,236569,240927,245219,250121,254751,259348,263576,267816,273587,280438,287659,294452,301827,308401,313647,318083,323431,328244,334475,341075,347971,352437,356285,359104,361208,362144,363793,365562,366025,366667,365431,365330,363903,362899,361433,359567,355842,352907,348591,346484,338888,331057,321521,314257,307369,300233,293119,284679,275858,267066,259392,251429,243048,235255,227970,221955,216201,211911,207072,203100,199201,196689,194223,191720,190289,189268,189016,188619,188028,186473,184752,182889,181454,179201,177467,176295,174964,173546,172430,172175,171587,170621,169709,169284,169141,169736,170338,170550,171134,171107,171607,171874,172926,174505,175993,177854,180062,182151,184145,185395,186878,189321,192611,196452,199319,201388,204203,206908,209915,212450,216604,220807,224370,225928,227006,227924,229388,231129,233007,234866,237047,239962,241733,243598,244280,245780,246447,247627,249047,250713,252021,253261,254896,255931,257916,260073,262852,265073,266406,267993,268978,271106,273409,275692,277360,278570,279840,281605,283628,285477,286293,287062,288438,289896,291181,292718,293693,295350,295760,297459,298336,300763,302708,304982,306623,308112,309599,310351,311331,311817,314451,316085,318128,318444,319360,320197,320309,320877,321183,321243,320969,321341,321688,321872,321901,324616,326955,328754,329777,330520,331769,332987,334949,336745,338058,340738,344824,348765,353471,356191,361157,365993,372277,378773,386738,395203,403031,410927,419355,427069
978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,48,113,114574,114689,114788,115021,115271,115510,115816,116245,116789,117360,117933,118557,118940,118437,118340,118443,119112,119026,118944,119185,119523,119880,120067,120340,120498,120816,121167,121691,122163,122807,123370,123946,124490,124971,125456,125827,126101,126308,126584,126766,126934,127085,127081,127092,127070,127263,127485,127525,128638,130640,133426,135240,135966,136087,136175,136466,136504,136703,137308,137690,138754,138606,138922,138837,139430,140208,140435,140575,140679,140495,140540,140134,139916,140138,140411,141054,141659,142193,142131,141745,141654,142577,142996,143512,142905,142255,141641,141940,142691,143173,143581,143991,144507,144482,144519,144765,144030,142498,140744,139927,139660,139224,139191,138585,137616,136129,134068,132879,131848,132404,132572,133092,133276,133305,133323,133116,133352,133470,134170,134345,133950,133345,132746,132920,132800,132966,132408,131675,130226,129245,128101,127970,127625,127380,126576,125707,124929,124280,124058,123751,123720,123361,123059,122115,121313,121425,122017,122394,122430,122650,123615,124175,124741,125067,125798,126388,126694,126650,126718,127572,128714,130131,131317,132303,133531,134946,136512,137708,137516,137434,137252,138127,139329,140898,140899,140846,140856,142257,143961,145410,145678,145603,145733,147780,150154,152471,154746,155574,156516,157432,159552,161565,161502,161181,160807,162359,164385,166736,169443,170997,172453,173839,176114,178115,179634,181144,182655,184214,185669,186631,187552,187529,188054,188560,190028,191909,195253,198690,201632,203087,204485,205879,207662,210290,211431,212048,211819,212991,215834,218473,220800,220983,220557,220022,219956,221139,222741,222509,221684,220403,222688,224741,227105,227198,226990,226795,227277,229295,231729,234618,236331,238289,241223,244852,248205,251065,254336,258773,263390,270329,277173,282741,285971,288854,294043,301327
1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,36,81,252567,254422,256313,259190,261596,263862,266556,269626,272455,275937,279271,282437,285018,287431,290372,293465,296743,299719,302488,304914,306353,307781,309880,312822,316125,317451,315629,313309,312280,314881,317589,320352,322787,324937,326959,328735,330724,332860,334908,336768,338384,341313,343030,344976,346599,349400,352289,354344,357123,359820,362863,366012,369974,374948,379974,384558,388998,394077,400393,406279,410780,414941,419901,426698,433996,437943,444438,450421,458507,464884,470041,477955,483548,490421,495449,499072,503991,506008,509136,512867,517530,514325,503334,494142,490468,492861,500199,503628,507601,502522,500924,498959,498615,501141,501272,502751,502385,501086,497644,494527,490434,486339,481997,477801,473275,469605,465767,460332,454365,448685,445063,441317,437076,432928,428613,425386,422780,420016,419640,418834,418758,417092,415215,414551,414667,416813,417925,418905,420303,421970,421782,419874,419367,419397,420614,420070,420142,419231,419024,418962,418352,416415,414804,414155,414299,414100,412593,412258,411867,414147,415623,416270,416287,416800,419128,420432,421362,422131,424287,426915,429146,432069,434946,437873,439580,441479,444624,447268,451182,455250,459590,463189,464609,466135,468045,470570,473881,475443,478814,481555,484559,486608,488671,491511,493900,498404,502180,506273,508408,510336,512833,515830,519091,522346,524838,528606,532155,536034,539834,543232,547333,550615,554757,558117,562138,564658,567598,569452,572671,575513,578944,582303,585482,589615,592884,595810,598232,601920,606419,611645,616282,621366,626633,630874,634327,635772,638211,641200,644359,647692,650185,651188,651558,650680,650159,649456,648206,647575,647043,647856,649761,652925,654459,655415,653913,653732,655569,657780,660967,661418,664070,667753,672661,675123,676063,676648,680751,684809,689195,691922,697298,702655,707095,709408,712560,716201
