FIPS_code,State,County,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_indicator,Lit_P3_CI_L_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_indicator,Num_P3_CI_L_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_TARGET,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance
1001, Alabama,Autauga County,0.205,0.169,0.241,0.086,NA,0.384,0.335,0.435,0.067,0.411,0.359,0.46,0.06,NA,NA,261.7,252.1,271,0.018,0.328,0.285,0.374,0.067,0.363,0.31,0.418,0.076,0.309,0.25,0.369,0.095,NA,NA,246.8,236.6,257.2,0.021,55036,40038,0.489,0.511,0.766,0.191,0.027,0.009,0.003,0.001,0.03,0.123,0.336,0.541,0.219,0.004,0.009,0.008,0.021,0.137,0.24,0.129,0.662,0.037,0.287,0.348,0.179,0.226,0.081,0.011,0.153,0.088
1003, Alabama,Baldwin County,0.161,0.125,0.197,0.11,NA,0.347,0.297,0.399,0.075,0.493,0.44,0.543,0.051,NA,NA,270.3,260.6,279.9,0.018,0.261,0.22,0.307,0.084,0.353,0.298,0.408,0.079,0.386,0.326,0.444,0.077,NA,NA,257.1,246.5,267.4,0.02,203360,148321,0.489,0.511,0.865,0.095,0.044,0.007,0.008,0,0.024,0.098,0.278,0.624,0.083,0.006,0.015,0.011,0.032,0.118,0.206,0.081,0.67,0.04,0.288,0.361,0.18,0.257,0.096,0,0.106,0.108
1005, Alabama,Barbour County,0.394,0.343,0.445,0.067,NA,0.404,0.338,0.47,0.084,0.201,0.143,0.261,0.152,NA,NA,235.9,225.4,246.1,0.023,0.581,0.521,0.641,0.052,0.273,0.202,0.34,0.128,0.146,0.078,0.214,0.233,NA,NA,215.7,204.5,226.6,0.026,26201,19524,0.533,0.467,0.466,0.48,0.042,0.006,0.002,0,0.046,0.269,0.355,0.376,0.211,0.002,0.02,0.004,0.027,0.272,0.418,0.265,0.483,0.073,0.444,0.254,0.168,0.225,0.114,0,0.239,0.123
1007, Alabama,Bibb County,0.269,0.228,0.313,0.081,NA,0.454,0.396,0.515,0.067,0.277,0.219,0.334,0.104,NA,NA,248.1,238.1,258,0.02,0.417,0.366,0.468,0.062,0.402,0.337,0.464,0.08,0.181,0.117,0.247,0.178,NA,NA,231.6,221.1,241.9,0.023,22580,17003,0.543,0.457,0.767,0.221,0.024,0,0.004,0,0.009,0.179,0.439,0.383,0.183,0.003,0.004,0.003,0.01,0.152,0.261,0.128,0.511,0.048,0.442,0.245,0.178,0.196,0.153,0,0.228,0.081
1009, Alabama,Blount County,0.248,0.204,0.29,0.087,NA,0.37,0.313,0.428,0.079,0.382,0.328,0.436,0.071,NA,NA,258.5,248.7,268.2,0.019,0.352,0.302,0.402,0.074,0.341,0.281,0.402,0.09,0.307,0.245,0.368,0.102,NA,NA,245.8,235.2,256.4,0.022,57667,41731,0.494,0.506,0.955,0.016,0.09,0.001,0.004,0,0.024,0.202,0.323,0.475,0.242,0.006,0.032,0.008,0.045,0.156,0.28,0.107,0.568,0.029,0.402,0.286,0.129,0.233,0.158,0,0.193,0.11
1011, Alabama,Bullock County,0.447,0.383,0.514,0.075,NA,0.423,0.338,0.508,0.101,0.13,0.058,0.203,0.287,NA,NA,227.3,215.5,238.6,0.026,0.67,0.594,0.743,0.056,0.252,0.167,0.333,0.169,0.079,0,0.16,0.514,NA,1,203.9,191.2,216.5,0.031,10478,7981,0.536,0.464,0.219,0.756,0.003,0.007,0.01,0,0.007,0.286,0.366,0.348,0.391,0.004,0.007,0.008,0.018,0.285,0.39,0.246,0.574,0.083,0.343,0.197,0.171,0.186,0.14,0,0.306,0.141
1013, Alabama,Butler County,0.32,0.274,0.368,0.074,NA,0.436,0.375,0.496,0.072,0.244,0.187,0.302,0.118,NA,NA,242.9,232.9,253.1,0.021,0.504,0.45,0.56,0.055,0.343,0.281,0.405,0.094,0.153,0.087,0.216,0.21,NA,NA,222.2,211.6,232.5,0.024,20126,14399,0.468,0.532,0.524,0.449,0.003,0.011,0.001,0,0.016,0.189,0.404,0.407,0.479,0.004,0.005,0.001,0.01,0.244,0.391,0.193,0.591,0.052,0.356,0.27,0.168,0.183,0.118,0.001,0.26,0.114
1015, Alabama,Calhoun County,0.25,0.215,0.286,0.072,NA,0.376,0.325,0.428,0.067,0.374,0.325,0.422,0.064,NA,NA,256.9,247.5,266.1,0.018,0.383,0.34,0.427,0.057,0.328,0.273,0.382,0.083,0.288,0.23,0.346,0.1,NA,NA,241,231.2,250.8,0.021,115527,85475,0.481,0.519,0.746,0.205,0.036,0.01,0.004,0,0.035,0.168,0.322,0.51,0.213,0.005,0.013,0.008,0.026,0.186,0.3,0.178,0.605,0.07,0.321,0.287,0.172,0.238,0.105,0.003,0.195,0.104
1017, Alabama,Chambers County,0.299,0.254,0.347,0.079,NA,0.423,0.36,0.489,0.076,0.278,0.22,0.335,0.105,NA,NA,247.2,237.2,257.3,0.021,0.462,0.406,0.519,0.061,0.35,0.28,0.415,0.098,0.188,0.123,0.257,0.179,NA,NA,228.6,217.3,239.4,0.024,33895,24886,0.481,0.519,0.577,0.393,0.022,0.01,0.003,0,0.017,0.191,0.384,0.424,0.109,0.003,0.007,0.002,0.013,0.188,0.341,0.164,0.65,0.046,0.304,0.246,0.135,0.232,0.112,0,0.275,0.122
1019, Alabama,Cherokee County,0.253,0.209,0.294,0.085,NA,0.412,0.354,0.469,0.071,0.335,0.282,0.389,0.079,NA,NA,254.7,244.9,264,0.019,0.373,0.322,0.424,0.068,0.37,0.308,0.43,0.085,0.257,0.195,0.319,0.123,NA,NA,241.4,231,251.6,0.022,25855,19274,0.497,0.503,0.931,0.05,0.016,0.002,0.005,0,0.012,0.205,0.382,0.413,0.094,0,0.002,0.004,0.007,0.161,0.293,0.172,0.589,0.033,0.378,0.286,0.146,0.182,0.119,0,0.267,0.09
